date_generated,forecast_date,model_type,category,predicted_amount,actual_amount,accuracy
2025-05-02 18:32:40.478399,2025-05-03 18:32:40.478399,arima,all,176.0402332017617,,
2025-05-02 18:32:40.478399,2025-05-04 18:32:40.478399,arima,all,173.41507033066858,,
2025-05-02 18:32:40.478399,2025-05-05 18:32:40.478399,arima,all,173.49272935691994,,
2025-05-02 18:32:40.478399,2025-05-06 18:32:40.478399,arima,all,173.49043200446812,,
2025-05-02 18:32:40.478399,2025-05-07 18:32:40.478399,arima,all,173.49049996602446,,
2025-05-02 18:32:40.478399,2025-05-08 18:32:40.478399,arima,all,173.49049795554794,,
2025-05-02 18:32:40.478399,2025-05-09 18:32:40.478399,arima,all,173.49049801502298,,
2025-05-02 18:32:40.478399,2025-05-10 18:32:40.478399,arima,all,173.49049801326356,,
2025-05-02 18:32:40.478399,2025-05-11 18:32:40.478399,arima,all,173.4904980133156,,
2025-05-02 18:32:40.478399,2025-05-12 18:32:40.478399,arima,all,173.49049801331407,,
2025-05-02 18:32:40.478399,2025-05-13 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-14 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-15 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-16 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-17 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-18 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-19 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-20 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-21 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-22 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-23 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-24 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-25 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-26 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-27 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-28 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-29 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-30 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-05-31 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:40.478399,2025-06-01 18:32:40.478399,arima,all,173.49049801331412,,
2025-05-02 18:32:41.312277,2024-05-01 00:00:00.000000,prophet,all,256.7609198938327,,
2025-05-02 18:32:41.312277,2024-05-02 00:00:00.000000,prophet,all,225.12992872080056,,
2025-05-02 18:32:41.312277,2024-05-03 00:00:00.000000,prophet,all,256.9157287034082,,
2025-05-02 18:32:41.312277,2024-05-04 00:00:00.000000,prophet,all,293.47681286669376,,
2025-05-02 18:32:41.312277,2024-05-05 00:00:00.000000,prophet,all,259.79549900058555,,
2025-05-02 18:32:41.312277,2024-05-06 00:00:00.000000,prophet,all,274.8858690750413,,
2025-05-02 18:32:41.312277,2024-05-07 00:00:00.000000,prophet,all,229.4666065039709,,
2025-05-02 18:32:41.312277,2024-05-08 00:00:00.000000,prophet,all,259.5328985568974,,
2025-05-02 18:32:41.312277,2024-05-09 00:00:00.000000,prophet,all,227.29446241658093,,
2025-05-02 18:32:41.312277,2024-05-10 00:00:00.000000,prophet,all,258.3388072723587,,
2025-05-02 18:32:41.312277,2024-05-11 00:00:00.000000,prophet,all,294.0454702709856,,
2025-05-02 18:32:41.312277,2024-05-12 00:00:00.000000,prophet,all,259.42110002421003,,
2025-05-02 18:32:41.312277,2024-05-13 00:00:00.000000,prophet,all,273.5067679962908,,
2025-05-02 18:32:41.312277,2024-05-14 00:00:00.000000,prophet,all,227.05010604937465,,
2025-05-02 18:32:41.312277,2024-05-15 00:00:00.000000,prophet,all,256.0764553581964,,
2025-05-02 18:32:41.312277,2024-05-16 00:00:00.000000,prophet,all,222.8261045833609,,
2025-05-02 18:32:41.312277,2024-05-17 00:00:00.000000,prophet,all,252.91675005670496,,
2025-05-02 18:32:41.312277,2024-05-18 00:00:00.000000,prophet,all,287.756936601204,,
2025-05-02 18:32:41.312277,2024-05-19 00:00:00.000000,prophet,all,252.3803733742261,,
2025-05-02 18:32:41.312277,2024-05-20 00:00:00.000000,prophet,all,265.8525250868037,,
2025-05-02 18:32:41.312277,2024-05-21 00:00:00.000000,prophet,all,218.9420957244686,,
2025-05-02 18:32:41.312277,2024-05-22 00:00:00.000000,prophet,all,247.6916071290673,,
2025-05-02 18:32:41.312277,2024-05-23 00:00:00.000000,prophet,all,214.35416533738544,,
2025-05-02 18:32:41.312277,2024-05-24 00:00:00.000000,prophet,all,244.55555988660592,,
2025-05-02 18:32:41.312277,2024-05-25 00:00:00.000000,prophet,all,279.7074642807225,,
2025-05-02 18:32:41.312277,2024-05-26 00:00:00.000000,prophet,all,244.8416384407072,,
2025-05-02 18:32:41.312277,2024-05-27 00:00:00.000000,prophet,all,259.01653661736776,,
2025-05-02 18:32:41.312277,2024-05-28 00:00:00.000000,prophet,all,212.9889376072992,,
2025-05-02 18:32:41.312277,2024-05-29 00:00:00.000000,prophet,all,242.7847959716098,,
2025-05-02 18:32:41.312277,2024-05-30 00:00:00.000000,prophet,all,210.63640018517333,,
2025-05-02 18:32:42.077165,2025-05-03 18:32:41.379575,category_ml,Housing,1666.8785909367025,,
2025-05-02 18:32:42.077165,2025-05-04 18:32:41.379575,category_ml,Housing,1665.982001076511,,
2025-05-02 18:32:42.077165,2025-05-05 18:32:41.379575,category_ml,Housing,1667.0110416614607,,
2025-05-02 18:32:42.077165,2025-05-06 18:32:41.379575,category_ml,Housing,1666.1144518012695,,
2025-05-02 18:32:42.077165,2025-05-07 18:32:41.379575,category_ml,Housing,1665.2178619410784,,
2025-05-02 18:32:42.077165,2025-05-08 18:32:41.379575,category_ml,Housing,1664.3212720808872,,
2025-05-02 18:32:42.077165,2025-05-09 18:32:41.379575,category_ml,Housing,1663.424682220696,,
2025-05-02 18:32:42.077165,2025-05-10 18:32:41.379575,category_ml,Housing,1662.528092360505,,
2025-05-02 18:32:42.077165,2025-05-11 18:32:41.379575,category_ml,Housing,1661.631502500314,,
2025-05-02 18:32:42.077165,2025-05-12 18:32:41.379575,category_ml,Housing,1662.6605430852633,,
2025-05-02 18:32:42.077165,2025-05-13 18:32:41.379575,category_ml,Housing,1661.763953225072,,
2025-05-02 18:32:42.077165,2025-05-14 18:32:41.379575,category_ml,Housing,1660.867363364881,,
2025-05-02 18:32:42.077165,2025-05-15 18:32:41.379575,category_ml,Housing,1659.97077350469,,
2025-05-02 18:32:42.077165,2025-05-16 18:32:41.379575,category_ml,Housing,1659.0741836444988,,
2025-05-02 18:32:42.077165,2025-05-17 18:32:41.379575,category_ml,Housing,1658.1775937843076,,
2025-05-02 18:32:42.077165,2025-05-18 18:32:41.379575,category_ml,Housing,1657.2810039241165,,
2025-05-02 18:32:42.077165,2025-05-19 18:32:41.379575,category_ml,Housing,1658.3100445090658,,
2025-05-02 18:32:42.077165,2025-05-20 18:32:41.379575,category_ml,Housing,1657.413454648875,,
2025-05-02 18:32:42.077165,2025-05-21 18:32:41.379575,category_ml,Housing,1656.5168647886835,,
2025-05-02 18:32:42.077165,2025-05-22 18:32:41.379575,category_ml,Housing,1655.6202749284926,,
2025-05-02 18:32:42.077165,2025-05-23 18:32:41.379575,category_ml,Housing,1654.7236850683014,,
2025-05-02 18:32:42.077165,2025-05-24 18:32:41.379575,category_ml,Housing,1653.8270952081104,,
2025-05-02 18:32:42.077165,2025-05-25 18:32:41.379575,category_ml,Housing,1652.9305053479193,,
2025-05-02 18:32:42.077165,2025-05-26 18:32:41.379575,category_ml,Housing,1653.9595459328689,,
2025-05-02 18:32:42.077165,2025-05-27 18:32:41.379575,category_ml,Housing,1653.0629560726777,,
2025-05-02 18:32:42.077165,2025-05-28 18:32:41.379575,category_ml,Housing,1652.1663662124863,,
2025-05-02 18:32:42.077165,2025-05-29 18:32:41.379575,category_ml,Housing,1651.2697763522954,,
2025-05-02 18:32:42.077165,2025-05-30 18:32:41.379575,category_ml,Housing,1650.3731864921042,,
2025-05-02 18:32:42.077165,2025-05-31 18:32:41.379575,category_ml,Housing,1649.476596631913,,
